Datetime,open,high,low,close,volume
2022-07-20 09:30:00-04:00,177.48500061035156,179.11000061035156,177.1699981689453,178.25,1394780
2022-07-20 09:35:00-04:00,178.25,178.25,177.8249969482422,177.94000244140625,512059
2022-07-20 09:40:00-04:00,177.83999633789062,178.77999877929688,177.08999633789062,178.0,608779
2022-07-20 09:45:00-04:00,177.83999633789062,178.52999877929688,177.51010131835938,178.52999877929688,395579
2022-07-20 09:50:00-04:00,178.5,179.5,178.25999450683594,179.24000549316406,599353
2022-07-20 09:55:00-04:00,179.0,179.2949981689453,177.63999938964844,177.75999450683594,496435
2022-07-20 10:00:00-04:00,177.7899932861328,177.9199981689453,176.9199981689453,177.6699981689453,418236
2022-07-20 10:05:00-04:00,177.64990234375,177.77000427246094,176.6999969482422,177.63600158691406,398436
2022-07-20 10:10:00-04:00,177.6562042236328,178.53500366210938,177.5977020263672,178.52999877929688,346042
2022-07-20 10:15:00-04:00,178.49000549316406,178.5,177.6699981689453,178.16859436035156,198131
2022-07-20 10:20:00-04:00,178.17990112304688,178.66000366210938,177.97000122070312,178.47000122070312,265269
2022-07-20 10:25:00-04:00,178.49000549316406,179.44000244140625,178.38999938964844,179.3350067138672,342320
2022-07-20 10:30:00-04:00,179.31640625,179.94000244140625,179.10000610351562,179.3302001953125,343709
2022-07-20 10:35:00-04:00,179.35000610351562,179.6300048828125,179.14639282226562,179.4199981689453,217942
2022-07-20 10:40:00-04:00,179.47000122070312,179.61000061035156,178.99000549316406,179.60000610351562,229153
2022-07-20 10:45:00-04:00,179.5500030517578,180.1999969482422,179.39999389648438,180.10000610351562,324349
2022-07-20 10:50:00-04:00,180.0800018310547,181.11000061035156,180.0800018310547,180.85000610351562,439124
2022-07-20 10:55:00-04:00,180.83999633789062,181.0500030517578,180.42999267578125,181.02000427246094,330201
2022-07-20 11:00:00-04:00,181.01010131835938,181.0500030517578,180.36000061035156,180.43080139160156,217800
2022-07-20 11:05:00-04:00,180.47000122070312,180.75,180.2100067138672,180.5399932861328,161208
2022-07-20 11:10:00-04:00,180.55999755859375,180.67999267578125,180.360107421875,180.53390502929688,166103
2022-07-20 11:15:00-04:00,180.54989624023438,180.77999877929688,180.1909942626953,180.6999969482422,193723
2022-07-20 11:20:00-04:00,180.6649932861328,180.77000427246094,180.0500030517578,180.22000122070312,241781
2022-07-20 11:25:00-04:00,180.24000549316406,180.94000244140625,180.17039489746094,180.86000061035156,228222
2022-07-20 11:30:00-04:00,180.8800048828125,180.99000549316406,180.45010375976562,180.95779418945312,169980
2022-07-20 11:35:00-04:00,180.94000244140625,181.1407012939453,180.4600067138672,180.67799377441406,200704
2022-07-20 11:40:00-04:00,180.69000244140625,180.9600067138672,180.35000610351562,180.88400268554688,168009
2022-07-20 11:45:00-04:00,180.88250732421875,181.2982940673828,180.84500122070312,181.14540100097656,205009
2022-07-20 11:50:00-04:00,181.1309051513672,181.8979949951172,181.1199951171875,181.8300018310547,267850
2022-07-20 11:55:00-04:00,181.8300018310547,181.97999572753906,181.60000610351562,181.80999755859375,248525
